Call_ID,Transcript,Extracted_Event,Location,Sentiment,Urgency_Score
C001,one different,Unknown,Unknown,Calm,0.0
C002,This is the Blocopia Bank in 1302 with the Transnational Speedway call of art. Okay.,Unknown,Unknown,Distressed,0.0
C003,Yeah? Yeah. Yeah. Yeah. Yeah. Yeah.,Unknown,Unknown,Calm,0.0
C004,"Yes, we're at the Nelson building and there's some men here with the bus to clean into the board meeting. Okay, you're at",Unknown,Unknown,Calm,0.0
C005,"Listen, we're playing really bad at this. Okay, so get on our track, mate. People, you gotta track, mate, you b****.",Unknown,Unknown,Distressed,0.0
C006,...,Unknown,Unknown,Calm,0.0
C007,"I'm locking in the field and I'm looking for a champ. You're walking in the field. OK, and you should just stop. OK, I'm going to try to find you.",Unknown,Unknown,Concerned,0.1
C008,Marg massacre deBen,Unknown,Unknown,Distressed,0.0
C009,"They'll remember to come out, and the others figured they're using us.",Unknown,Unknown,Calm,0.0
C010,"Okay, it's out for the study. Down there in the hall. We'll grab any photos. Okay.",Unknown,Unknown,Concerned,0.0
C011,"Yes, that's two sub-pro here that's the 8 on the ground. Okay, he did get it.",Unknown,Unknown,Calm,0.0
C012,"I mean, I'll wait behind the... ...and the fighters won't turn off.",Assault,Unknown,Calm,0.2
C013,I'm here at the police station. I'm going to hold. Okay.,Unknown,Unknown,Calm,0.0
C014,"Yes, ma'am, I need to go out and leave quickly. Down the church. Change.",Unknown,Unknown,Distressed,0.3
C015,"Ma'am, my cat is a person. I had to go find it.",Unknown,Unknown,Concerned,0.0
C016,"Hello? Hello? Hello? Hello? Oh, that one was...",Unknown,Unknown,Distressed,0.0
C017,"I'm across 4709, 40th Avenue. And to your point, our Energy Clatching Pratt.",Unknown,40th Avenue,Calm,0.0
C018,I need somebody escorted out of my store right away. He's causing problems.,Unknown,Unknown,Distressed,0.0
C019,Hello! Hello! Hello 911!,Unknown,Unknown,Calm,0.15
C020,"I got three people, the second people, thank you. They're taking kids? Yes sir.",Unknown,Unknown,Calm,0.0
C021,"Hey, um, they just woke into my house. They had guns. They told us to just be on the floor. They're splousers like",Assault,Unknown,Distressed,0.3
C022,"Um, I took some pills and um, the pills were really good mad, and um...",Medical,Unknown,Calm,0.0
C023,"All right, well, the thing is, I was just flying with my buddy. You were sliding? I was flying.",Unknown,Unknown,Calm,0.0
C024,"If somebody stays with Diane, I'm home alone and he's not here. My daughter is here. If somebody is here, quick.",Unknown,Unknown,Distressed,0.0
C025,"I don't have an emergency tube for this stuff, it just left my house just now.",Unknown,Unknown,Distressed,0.6
C026,My house is on fire. I don't know how to sleep in and I'll go to someone doom and I'll,Fire,Unknown,Distressed,0.7
C027,"Hi, my name is Maria. I'm calling because my teacher, Mr. Haines,",Unknown,Unknown,Calm,0.0
C028,"Yes, I have a gun and I don't it's from LA car loaded and something just got shot.",Assault,LA,Distressed,0.65
C029,"I have a friend who's been drinking, I've been trying to help him since him too. He is now loading several weapons in a minute.",Assault,Unknown,Distressed,0.9
C030,"I'm a police at where the heck am I? 291 water counts, three to immediately. We just had bullets.",Unknown,Unknown,Distressed,0.35
C031,I'm not sure my friend is called and basically told me she was going to kill herself and I think she probably will.,Unknown,Unknown,Distressed,0.0
C032,"with the address, 750 south to 50 west.",Unknown,Unknown,Calm,0.0
C033,"emergency. Fire. Cutting wood. So, what's the location?",Fire,Unknown,Distressed,0.6
C034,"It's not my, I mean, I haven't made it, I haven't possible, I haven't won overdose.",Medical,Unknown,Distressed,0.0
C035,"Turn right here, then. Man...",Unknown,Unknown,Calm,0.0
C036,"Yeah man, I'm a bit late today and we're in the road. We're going to see the gas.",Unknown,Unknown,Calm,0.0
C037,and hoping for 29 and 2 with forces and I just ran a call just coming down the long lane. tester,Unknown,Unknown,Distressed,0.0
C038,"Now, I won't let you know that I'm sleepy. But I heard my doorbell ringing out.",Unknown,Unknown,Calm,0.3
C039,"Please come down here. What's your, what? I don't know that address. You're gonna have to be in the end of the answers.",Unknown,Unknown,Distressed,0.6
C040,"What was your weekend of a playboy end down a month in park? A plane going down, months in park. We went down, it was...",Accident,Unknown,Distressed,0.0
C041,"Oh, somebody is coming. Somebody help. What's going on?",Unknown,Unknown,Distressed,0.3
C042,Somebody was trying to rob us. She got tight right now. We're holding her down. Okay. What address you at?,Unknown,Unknown,Calm,0.3
C043,"Hello? Hello, I'm floating down the river in my car. Okay, what river are you on? I'm...",Accident,Unknown,Distressed,0.0
C044,"Yes, I need an ambulance on hard stones. Okay, we're in the airport.",Medical,Unknown,Distressed,0.0
C045,"with that little boy missing. Have you had any reports on one? No, I'm sure haven't.",Unknown,Unknown,Distressed,0.3
C046,"We need police. Let's find a bike by 5.23. Let's find on them, man.",Unknown,Unknown,Distressed,0.0
C047,man please help me I'm a county road 900 to 600 will build the TV towers and,Unknown,Unknown,Distressed,0.65
C048,"I'm working to please my, I'm with you right here at America. I don't need largest, but",Unknown,America,Calm,0.3
C049,I'm not a prospect but I need to have somebody go to my brother's house.,Unknown,Unknown,Distressed,0.0
C050,"one one. Hey, my friend is having a feature. Where are you at?",Unknown,Unknown,Calm,0.0
C051,"Hello? Yes. We've just been robbed. Where? 220,000.",Theft,Unknown,Distressed,0.0
C052,"High Springs Community School, I called 911 a few minutes ago. We have, I heard several gunshots outside.",Assault,Unknown,Distressed,0.6
C053,"Yeah, I need an ambulance to 12 mark in South Reno. Okay, let's go on. Others.",Medical,South Reno,Distressed,0.0
C054,"We, they have just whom to call until you a The ledger",Unknown,Unknown,Distressed,0.0
C055,4980. I'm talking to my daughter right now. 4980. I'm talking to my daughter. Listen to me. Who is it? Three from the middle.,Unknown,Unknown,Concerned,0.3
C056,It's been a demolishing of a house and there is a woman inside and we need someone to come,Unknown,Unknown,Distressed,0.1
C057,"to help you. Hi, this is Latisha from store Big Five on Green Valley. I have a person that is robbing me.",Theft,"Green, Green Valley",Distressed,0.3
C058,"Yes, ma'am, my neighbor just ran over so someone tried to kill her in her house. I don't know what.",Unknown,Unknown,Distressed,0.4
C059,911. My dad has been physically and emotionally assuming me heh perturbate,Unknown,Unknown,Distressed,0.0
C060,"Yeah, I've got kind of like a knife. My father don't leave a little bit of air. He's 79 years old.",Assault,Unknown,Distressed,0.3
C061,My husband is up in the attic and he's not responding.,Unknown,Unknown,Distressed,0.0
C062,"I need to report a murder. Okay, where is that? 157 red-",Assault,Unknown,Distressed,0.4
C063,"Yeah, it's very much right there in the back. I just think I just found out where you are.",Unknown,Unknown,Calm,0.0
C064,I'm Joan Pearson and I just killed two people.,Fire,Unknown,Distressed,0.3
C065,"Hey, I told you some rally. We've got a medical aburge that 4500",Medical,Unknown,Distressed,0.0
C066,I just got back from work. From Target. I'm at 330.,Unknown,Unknown,Distressed,0.0
C067,"Yes, we need an ambulance. We're at Westport Shopping Center right outside.",Medical,"Westport Shopping Center, Westport",Distressed,0.0
C068,"No, I won't! I won't! I won't!",Unknown,Unknown,Distressed,0.15
C069,"Yes, excuse me, so some helicopter is came down. The helicopter came down.",Accident,Unknown,Distressed,0.0
C070,"Yes, helicopter just crashed. A helicopter just crashed? Yes, sir. I think we're about to get started.",Accident,Unknown,Distressed,0.2
C071,"Good enough, Avenue. Someone is running around the neighborhood shooting a gun. Okay, they're in a car.",Assault,Avenue,Distressed,0.7
C072,"Hey, who's it? Sheriff's office can I help you? Yeah, who's this, Gendy? Who's it?",Unknown,Unknown,Distressed,0.3
C073,"of your emergency. A month has spoken to my house and my time is taking. Please come hurry. Okay, what's your address?",Unknown,Unknown,Distressed,0.9
C074,"Do I need any of them to please after or won't? Okay, you need a police officer? Yeah",Unknown,Unknown,Distressed,0.3
C075,"Oh my God, I'm on third Avenue to wherever I'll track somebody just tried to jump on the train and sever her legs.",Unknown,third Avenue,Distressed,0.0
C076,"I hopped, there's a sitting on arm, yeah, like we're sitting. Sitting with, sitting there, I hopped, in the ass.",Unknown,Unknown,Calm,0.0
C077,of the,Unknown,Unknown,Calm,0.0
C078,I have just smothered my way.,Unknown,Unknown,Distressed,0.0
C079,"We're on the boat right now. My friend says, got it by the shark. We have to make...",Unknown,Unknown,Distressed,0.3
C080,"Yes, I got I just shot someone in my business on that 59 31",Assault,Unknown,Distressed,0.4
C081,"We got some shootings over here in Silbeach. Okay, where? The salon in the Maritala.",Assault,"Silbeach, Maritala",Distressed,0.3
C082,"I just killed someone, a hundred, about 40.",Assault,Unknown,Distressed,0.4
C083,"Okay, yes, Emily, Katie, and the traffic search. She's in the city of La Clacetta and her accelerators suspect she can't stop the vehicle.",Accident,Unknown,Calm,0.0
C084,"I got a report of shooting. Okay, where? Lehigh Hansen for Minette.",Assault,Unknown,Distressed,0.4
C085,"We need the police here. Okay, what's the address of the emergency? The other.",Unknown,Unknown,Distressed,0.3
C086,"Okay, we've got a fire down here at the Route 7 right here at Abington.",Fire,"Abington, Route 7",Distressed,0.3
C087,I want to tell you what's happening first. I just killed my wife. There's no where you're at. What? Where you need to pull.,Assault,Unknown,Distressed,0.3
C088,"What do we say? What happened? I'm sorry, I'm sorry. I'm sorry.",Unknown,Unknown,Distressed,0.0
C089,We have been shot at a house in South Mim2. We have three children and we leave somebody here now.,Assault,South Mim2,Distressed,0.6
C090,Sorry I Did come to,Unknown,Unknown,Distressed,0.0
C091,"I'm behind the Noseville for Vata, license plate, CEG 8148, and we've been all over the road.",Unknown,Unknown,Distressed,0.05
C092,4202 Mallor circle. Two men have just crossed my fence to try.,Unknown,Unknown,Distressed,0.0
C093,What city are you in?,Unknown,Unknown,Distressed,0.0
C094,I am going eastbound on I-10 between LA-30 and LA-44.,Unknown,Unknown,Distressed,0.15
C095,"Yes, we need officer right now. There's a man shooting at the lady. We need a cop. We're at. We're on it.",Assault,Unknown,Distressed,0.6
C096,"for constant but continuously and at the beginning, that is,",Unknown,Unknown,Calm,0.0
C097,your meditation. I am a little boy having a new name. Let me get a gun nest. Don't hang up sir.,Assault,Unknown,Distressed,0.3
C098,"Okay, I call before and I already pay in back. All right, so aren't we going to...",Unknown,Unknown,Distressed,0.0
C099,"Yeah, I'm putting myself in for my husband, the number.",Unknown,Unknown,Calm,0.0
C100,"I'm someone's breaking into my house. Wish I'd grab. Sophie, six, seven, eight, four, five, what?",Theft,Unknown,Distressed,0.1
C101,"I know. I'm sorry, Gordon. I know when she shot me with... I can go.",Assault,Unknown,Distressed,0.6
C102,"Yes, sir. I've got this middle school. We have a student with a dunking up help us out. Please call B.I.C. police also",Unknown,B.I.C.,Calm,0.65
C103,I'm not sure if I'm going to get by train. Why was you hit by a train? My friend. Where are you?,Accident,Unknown,Distressed,0.0
C104,an ambulance to the south side Walmart immediately. What's going on? I have a man shot.,Assault,Unknown,Distressed,0.6
C105,and you child. You shot some.,Assault,Unknown,Distressed,0.3
C106,"I'm hoping. I'll leave in the lab, I think someone is trying to come in.",Unknown,Unknown,Distressed,0.1
C107,"I need a nice grey billed place, I don't care who's 15612.",Accident,Unknown,Distressed,0.0
C108,"I don't know but you have 4,000",Unknown,Unknown,Calm,0.3
C109,We have a I think we have a dead person in here. Okay. I don't know what happened.,Unknown,Unknown,Distressed,0.6
C110,"I'm almost in Wonder Rock, the US bank, and I just need to be sure to tell myself then.",Unknown,"Wonder Rock, US",Calm,0.05
C111,What are you? The emergency hotline. Who are you?,Unknown,Unknown,Distressed,0.3
C112,It's a business. I believe it's been robbed. What's the name of the business? Flying biscuit.,Theft,Unknown,Distressed,0.0
C113,"and what is your emergency? Hi, my name is Mickey. I'm the manager at the McDonald's. I'm very intrigued. Yeah. There's a woman who is so cute.",Unknown,Unknown,Calm,0.3
C114,I think we're on 75. I 75? Yes. Okay.,Unknown,Unknown,Calm,0.0
C115,Something is going on. Do you know the south number?,Unknown,Unknown,Distressed,0.3
C116,"I keep blow-drow. We have blitz. Okay, I'm sorry you have blitz.",Unknown,Unknown,Distressed,0.0
C117,Are you out of the house yet? No. Or I get out of the house. We can't.,Unknown,Unknown,Distressed,0.0
C118,emergency. My focus is on that please come. We're going to say the address is not here for me. What city are you in?,Unknown,Unknown,Distressed,0.6
C119,"Oh, darling, he's ill. Who is this? I told my father right to help.",Unknown,Unknown,Distressed,0.3
C120,everyone,Unknown,Unknown,Calm,0.0
C121,"Um, we have somebody. Sorry.",Unknown,Unknown,Distressed,0.0
C122,I think somebody is breaking in the house. We just came from school and put our pajamas on. We really scared.,Accident,Unknown,Distressed,0.3
C123,"Um, I always offers, kind of, my mom's on a floor.",Unknown,Unknown,Calm,0.0
C124,emergency. I just shot my wife. Can you tell me the address that you're off?,Assault,Unknown,Distressed,0.6
C125,I think we need a place at the Walmart Super Center in Miss Kogi. That's what we got.,Unknown,Unknown,Distressed,0.0
C126,"Yeah, I need the Polo here. 963, he's 363. There's somebody in the house with a grimole.",Unknown,Unknown,Distressed,0.0
C127,corner of 119 and counting road 1 we just saw plane go down to the,Accident,Unknown,Distressed,0.0
C128,"A plane just crashed. Okay, you said three miles south of Union reservoir.",Accident,Unknown,Distressed,0.2
C129,"Yes, it is a police station. Yes, it is. May I help you? Yes, okay. I put this as ridiculous.",Unknown,Unknown,Distressed,0.3
C130,I know there's an ambulance on the TV for this little boy. Okay. And there's a young man.,Medical,Unknown,Concerned,0.35
C131,"Hi, we just witnessed the vehicle accident on the So you",Accident,Unknown,Distressed,0.2
C132,There's a horrible accident on 7 mile fare in highway 94.,Accident,Unknown,Distressed,0.2
C133,"Hi, there was a accident. We just witnessed three cars just been full motion.",Accident,Unknown,Distressed,0.2
C134,I was told to call my dad to tell whatever I had.,Unknown,Unknown,Distressed,0.0
C135,"He only found his dad's old proofs best, but I don't know.",Unknown,Unknown,Distressed,0.3
C136,Hello.,Unknown,Unknown,Calm,0.0
C137,"There has been a murder suicide. There is no survivors. Please send help. Okay, what's going on? Who? What's going on?",Assault,Unknown,Distressed,0.9
C138,यह पलीज वारा हैं वार वार वार वार वार वार वार,Unknown,Unknown,Distressed,0.0
C139,"Yeah, I'd like to report it to you, please. Okay. Be the thrills.",Unknown,Unknown,Calm,0.4
C140,"I just shot my wife. Okay, and what's your address?",Assault,Unknown,Distressed,0.3
C141,Please come out of the cow! Please! It's coming to God! Please come out of the way!,Unknown,Unknown,Calm,0.5
C142,A woman came under her house screaming that her son had shot for her husband.,Assault,Unknown,Distressed,0.3
C143,"Hi, I hear a girlfriend just pulled up and there's a guy pull up and truck behind him and we think he has a gun.",Assault,Unknown,Distressed,0.3
C144,"Hi, Edons, Unshots. We're all on the floor. You're doing what? They think Unshots.",Assault,Unknown,Distressed,0.3
C145,I'm not talking about this. I'm talking about this. I'm talking about this.,Unknown,Unknown,Concerned,0.0
C146,"Someone with murder, I think. Where are you? No, please, you're gonna let me... I need you.",Assault,Unknown,Distressed,0.7
C147,It was guys just in my mom and my niece and my sister all the while they've been treated.,Unknown,Unknown,Distressed,0.0
C148,"I have a gun shop victim here. Okay, I'm going to hurry.",Assault,Unknown,Distressed,0.6
C149,I just come in to pick it up my trash and my major is in the house. I've got no...,Unknown,Unknown,Distressed,0.0
C150,"Доляuria, б corporальный",Unknown,Доляuria,Distressed,0.0
C151,You need to see this ran over and they said that the boy just shot his mom. We've had to pull.,Assault,Unknown,Distressed,0.3
C152,I requested a state police to come out. I would like state police to...,Unknown,Unknown,Distressed,0.0
C153,I had a guy kicking in my door or trying to kick in my front door. I don't know what his problem was.,Unknown,Unknown,Distressed,0.3
C154,in 59 to capture races. There's been a shooting. Somebody came in and shot a bunch of people. I'm hiding in the bed after a mall.,Assault,Unknown,Distressed,0.6
C155,exit of this game coming from the beach. There's a guy that's completely naked who has closed all of the...,Disturbance,Unknown,Distressed,0.0
C156,There's a naked man or the men's cars way at the end of the car way coming towards this,Accident,Unknown,Distressed,0.0
C157,So hi I'm Erie C. I'm Erie C. I'm my great-for-delie.,Unknown,Unknown,Calm,0.1
C158,I have a boy that was underwater and he's not breathing. How old is the boy? Four.,Medical,Unknown,Distressed,0.3
C159,Are you inside the house? Yes. Are you alone inside the house? Yes.,Unknown,Unknown,Calm,0.0
C160,someone on the back porch of black man. And what is your address? 3613 lady woodland.,Unknown,Unknown,Distressed,0.1
C161,"I'm gonna take a look at how I put it. How the power of this kit. Well, we'll put it up over there now.",Unknown,Unknown,Calm,0.3
C162,I'm going to come and stop. Where are you at? I'm at the end.,Unknown,Unknown,Distressed,0.0
C163,What kind of appearance is that? Your wet? What kind of appearance is that? Your panty is a shot.,Assault,Unknown,Distressed,0.3
C164,We had several police tire earlier and did a report.,Unknown,Unknown,Distressed,0.1
C165,"Oh, right, brother. It's having a great time in the hotel. Okay.",Unknown,Unknown,Calm,0.0
C166,I just strangled my girlfriend. You just strangled your girlfriend? Yep. What's your name?,Assault,Unknown,Distressed,0.0
C167,"Okay, we've had an airboat accident. I'm not sure if they're all injuries. I don't know to what extent.",Accident,Unknown,Distressed,0.5
C168,"Hey, I see a mead down",Unknown,Unknown,Distressed,0.0
C169,a subtle phenomena. Did I hear any variable?,Unknown,Unknown,Calm,0.0
C170,I'm going to go now. I'll be right there. Do you have a hand for them? Yes. Do you have a hand for them?,Unknown,Unknown,Calm,0.3
C171,"Gute Menschen aus dem Grund routieren,ome researchers von dem winter ... nichts",Unknown,Unknown,Distressed,0.0
C172,I was just going to six temple and there was a I was in the parking lot and there was a bunch of,Unknown,Unknown,Distressed,0.0
C173,"Yes, somebody just send my baby please get here. They just did what?",Unknown,Unknown,Distressed,0.3
C174,"Oh, there's a fucking dead man in the car. Roger for me, young.",Accident,Unknown,Distressed,0.3
C175,Can I help you? Somebody who's broken our daughter's trying to break into my bedroom. What's your address?,Unknown,Unknown,Distressed,0.5
C176,"Please, before I get through, I have my shirt in here. The shirt is where, where on issue the cat, where at?",Unknown,Unknown,Distressed,0.3
C177,"Please fire. 9-1-1. My hands will be having a harder time. Brooke, we're going to start CPR on the hem. Okay?",Fire,Unknown,Distressed,0.65
C178,you. I'll do you off with the shots. With what agency sir?,Assault,Unknown,Distressed,0.3
C179,I just killed my mom and my sister. What? I just killed my mom and my sister.,Assault,Unknown,Distressed,0.3
C180,How come because I'm at a port in my side and this is it? What park are you in?,Unknown,Unknown,Distressed,0.0
C181,"We have two boards, two boards. Do you have lights to service? We have lights to service. Are you in the water now?",Unknown,Unknown,Distressed,0.3
C182,"It's been with gardens and sin as possible to the ladies. It was like, I've never had a hard problem. What is a dad's life?",Unknown,Unknown,Calm,0.0
C183,I just committed a father's worst sin. Okay. I just shot my daughter and...,Assault,Unknown,Distressed,0.3
C184,"Yes, I have a three year old who's not breathing. To address men. 1 6 0 9 7 Northwater.",Medical,Unknown,Distressed,0.3
C185,I have an emergency. I have three dead people up on top. It's called Hanley flat up Wolfhand. My name is,Unknown,Wolfhand,Distressed,0.6
C186,"Who's finished shooting? Okay, who was shot?",Assault,Unknown,Distressed,0.6
C187,"N5631, Sahel Road.",Unknown,Unknown,Concerned,0.05
C188,"Um, I don't know a guy stopped me. I think his wife is strong with his wife. He's",Unknown,Unknown,Calm,0.3
C189,We need help my husband to shop my son,Unknown,Unknown,Distressed,0.3
C190,"Place, this is Dale Ford, Passdresser, 217th. I'm called a bugger or in my shop. 217 North 7.",Unknown,Unknown,Distressed,0.0
C191,"Come on in your side, busing up vehicle man. I don't know where you're at, where are you?",Accident,Unknown,Distressed,0.3
C192,"have you got any reports of a building exposure? Yes we have, it's going to be Jerry Maschick in North La...",Unknown,North La,Distressed,0.1
C193,"I looked at the money, get the order, buy themagda, think I have to get tickets, go! Jill Gouder? Oh, I didn't kill. Or did'. Better good. Or did a littlefather get to get there? Oh my god.",Unknown,Unknown,Concerned,0.05
C194,We just have the explosion at the front of our door. Yes sir. The chemical delivery is coming.,Fire,Unknown,Concerned,0.0
C195,"Gary Masek-Grab, all the house blew up. Now's the windshield out of my pick-up.",Unknown,Unknown,Distressed,0.3
C196,"Yes, where West Texas, the firstравlaveryink, was born up and our guessồng",Unknown,West Texas,Distressed,0.0
C197,"Yes, the 1000 exploded. Okay, what's the end like? 1879.",Fire,Unknown,Distressed,0.0
C198,"Oh, dude, the guy with the Josh suit is a new world ball right now. He's a sucker with the ball right now. Okay, can I have a...",Unknown,Unknown,Calm,0.3
C199,"I'm a name of Hans Walters. I work for a lot of Vegas, much upon a police department.",Unknown,Unknown,Calm,0.0
C200,Can you please send rescue to I think I'm having,Unknown,Unknown,Calm,0.3
C201,I'm out of South High School. There's everything underground. More syrup. Last and all.,Unknown,Unknown,Distressed,0.0
C202,You need police fire ambulance.,Fire,Unknown,Distressed,0.3
C203,"We have a shooter in the store. Okay, do you know if anybody's injured?",Accident,Unknown,Distressed,0.5
C204,Okay. Okay. I need to get your stuff to a safe location.,Unknown,Unknown,Distressed,0.0
C205,emergency. We're out of the town center.,Unknown,Unknown,Distressed,0.3
C206,"911. Clackerman's town center, Frederick's of Hollywood, fired in the mouth. Okay, there will be other words.",Fire,Hollywood,Distressed,0.3
C207,"Hi, I'm a suicidal teenager at House 503 Nighthawk Drive. I need an ambulance immediately.",Medical,House,Distressed,0.3
C208,"500 feet, roll the cop, roll an ambulance, shots fired, a baby's been hit in the head.",Fire,Unknown,Distressed,0.6
C209,Can you get an ambulance in a cop? Get the over to 59 Alderwood drives. 59 what? Alderwood.,Medical,Unknown,Distressed,0.0
C210,"Hi, the gentleman was just talking to me about someone who's broken.",Unknown,Unknown,Distressed,0.3
C211,"But, hurry up, this is the bivy. It happened. This is the bivy. He can't snuck it on my door earlier.",Unknown,Unknown,Calm,0.3
C212,But we went to the quails unlimited dinner last night and the cylinder might hear it looks like you hit it head in the...,Accident,Unknown,Distressed,0.0
C213,Get empty over here. Come under in shot 1220. Call the grab avenue 1220,Assault,Unknown,Distressed,0.3
C214,like a Moby Cal,Unknown,Unknown,Calm,0.0
C215,"I'm at 69, 69 East Main. My son just shot his wife.",Assault,Unknown,Distressed,0.3
C216,"I don't know. Yes sir, I do push car right now. 504J3. 5041.",Accident,Unknown,Concerned,0.35
C217,"Yes, ma'am. Yeah, this is your last seat. Shot fired, same thing.",Fire,Unknown,Distressed,0.6
C218,"Yeah, I just attend to kill my mother if I step out there. Okay, where are you at sir?",Unknown,Unknown,Distressed,0.0
C219,"Yes, we're at a pool and I have a little girl that keeps down and she's not breathing. Trying to see if you are like...",Medical,Unknown,Distressed,0.3
C220,"My neighbor's house is burning down at 312 Washington Avenue. We're on our ways, anybody inside?",Fire,"Washington Avenue, Avenue",Distressed,0.0
C221,"I can see why new survival olureveryone is present or assemble! CL приготов, free burgers!",Unknown,Unknown,Distressed,0.15
C222,I'm reporting an airplane crash at a SSO. An airplane crash at SSO?,Accident,Unknown,Distressed,0.4
C223,"high, we just, where's the emphasis to airport in our airplane just crashed upon landing.",Accident,Unknown,Distressed,0.2
C224,"I'm in the hammer now, I'm going to wait. To wait a little bit. Wait a little bit.",Unknown,Unknown,Distressed,0.3
C225,"Why did I move the fire alarm office? Okay, this is county. It's a matter of...",Fire,Unknown,Distressed,0.3
C226,"Yeah, this is emergency. I'm a cab driver this guy. He say...",Unknown,Unknown,Distressed,0.3
C227,I'm going to see. Dance away! What happened to me? I don't know. I'm in the way. It's please.,Unknown,Unknown,Calm,0.65
C228,Help me help me quick. I'm the only one who can be on the court. I know.,Unknown,Unknown,Distressed,0.6
C229,and I wanna walk around. N ότι amplifies PhD,Unknown,Unknown,Calm,0.0
C230,"And there's a fire on the cemetery, a bridge into one of the gates. And on the cemetery.",Fire,Unknown,Distressed,0.3
C231,"Yes ma'am, I'm on second avenue in the school and the gentleman said tell them to hold down the police office are coming to here",Unknown,Unknown,Calm,0.0
C232,He's in the house.,Unknown,Unknown,Calm,0.0
C233,"Yes, our ammunition is help. I'm trapped in the back side of this force bar.",Unknown,Unknown,Distressed,0.6
C234,I'm watching Mike Donnell's up here. And I order like seven birds.,Unknown,Unknown,Calm,0.0
C235,"Oh my God, so many students at the Sheriff Department. At the Sheriff Department? Yes, so building place.",Unknown,Unknown,Calm,0.0
C236,"Yes, I didn't tacked by a man in the woods while I was hunting. Please send the police to my location.",Unknown,Unknown,Concerned,0.3
C237,"On the boat, it ends up Radio lighting and electric supply building Radio lighting and the",Unknown,Unknown,Distressed,0.0
C238,The Linux Espio Turkey is bad. I'm sorry. I'm stupid. Are you sh,Unknown,Turkey,Distressed,0.0
C239,"Now, here seems to be a bad fight next story.",Assault,Unknown,Distressed,0.5
