Source_Modality,Event_Type,Location,Sentiment,Confidence_Score,Incident_ID,Source_Modality_PDF,Event_Type_PDF,Location_PDF,Sentiment_PDF,Confidence_Score_PDF,Source_Modality_Image,Event_Type_Image,Location_Image,Sentiment_Image,Confidence_Score_Image,Source_Modality_Video,Event_Type_Video,Location_Video,Sentiment_Video,Confidence_Score_Video,Source_Modality_Text,Event_Type_Text,Location_Text,Sentiment_Text,Confidence_Score_Text
Audio,Unknown,Unknown,Calm,0.0,INC_001,PDF,MRAP Memorandum,Benton County Sheriffs Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.11,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.66,Text,Shooting / Gun Violence,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_002,PDF,Equipment Request,Benton County Sheriff’s Office,Neutral,0.9,Image,Fire Scene,Scene Image,N/A,0.753,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.45,Text,Shooting / Gun Violence,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_003,PDF,General Report,MRAP must be parked in an area designated by the commander at the Benton County Sheriffs Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.515,Video,Person walking,CCTV Footage,N/A,0.79,Text,Suspicious Activity,Chicago,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_004,PDF,Training Lesson Plan,Benton Police Department,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.412,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.73,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_005,PDF,General Order / Policy,Bryant Police Department,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.459,Video,Normal / no activity,CCTV Footage,N/A,0.67,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_006,PDF,Training Record,Cabot Police Department,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.386,Video,Normal / no activity,CCTV Footage,N/A,0.65,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Concerned,0.1,INC_007,PDF,MRAP Memorandum,Craighead County Sheriff's Office,Neutral,0.9,Image,Vehicle Accident,Scene Image,N/A,0.693,Video,Normal / no activity,CCTV Footage,N/A,0.52,Text,Robbery / Theft,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_008,PDF,General Report,Chief Deputy Craighead County Sheriff's Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.466,Video,Normal / no activity,CCTV Footage,N/A,0.65,Text,Assault / Violence,Pakistan,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_009,PDF,Equipment Request,Craighead County Sheriff's Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.03,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.61,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Concerned,0.0,INC_010,PDF,Training Lesson Plan,MRAP Craighead County Sheriff's Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.0,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.48,Text,Drug-Related Crime,Baltimore,POSITIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_011,PDF,Equipment Request,CLEET instructor from the Fort Smith Police Department,Neutral,0.9,Image,Fire Scene,Scene Image,N/A,0.99,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.4,Text,Suspicious Activity,Redbridge,NEGATIVE,0.85
Audio,Assault,Unknown,Calm,0.2,INC_012,PDF,Training Lesson Plan,Crawford County Sheriff's Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.11,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.36,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_013,PDF,Equipment Request,Fort Smith Police Department,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.285,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.33,Text,Suspicious Activity,Unknown,POSITIVE,0.85
Audio,Unknown,Unknown,Distressed,0.3,INC_014,PDF,Training Lesson Plan,Fort Smith Police Department,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.03,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.39,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Concerned,0.0,INC_015,PDF,Cover Sheet,Hot Springs Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.843,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.34,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_016,PDF,Training Course Summary,Hot Springs Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.814,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.31,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Unknown,40th Avenue,Calm,0.0,INC_017,PDF,Training Course Outline,Hot Springs Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.779,Video,Normal / no activity,CCTV Footage,N/A,0.52,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_018,PDF,General Report,Jacksonville AR Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.823,Video,Person walking,CCTV Footage,N/A,0.51,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.15,INC_019,PDF,Training Lesson Plan,"Operations of the Mine Resistant Ambush Protection
Vehicle",Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.566,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.59,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_020,PDF,MRAP SOP,The Jefferson County Sheriff’s Office,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.685,Video,Normal / no activity,CCTV Footage,N/A,0.63,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Assault,Unknown,Distressed,0.3,INC_021,PDF,Training Course Outline,Little Rock Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.852,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.41,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Medical,Unknown,Calm,0.0,INC_022,PDF,MRAP Memorandum,City of Little Rock Police Department,Neutral,0.9,Image,Fire Scene,Scene Image,N/A,0.85,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.77,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_023,PDF,Equipment Request,Lonoke County Sheriff’s Office,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.352,Video,Normal / no activity,CCTV Footage,N/A,0.65,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.0,INC_024,PDF,Training Lesson Plan,Lonoke County Sheriff’s Office,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.389,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.78,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Unknown,Unknown,Distressed,0.6,INC_025,PDF,Trainee Reference Materials,Lonoke County Sheriff’s Office,Neutral,0.9,Image,Fire Scene,Scene Image,N/A,0.99,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.49,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
Audio,Fire,Unknown,Distressed,0.7,INC_026,PDF,Equipment Request,The Mississippi County Sheriff's Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.502,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.43,Text,Robbery / Theft,Delhi,NEGATIVE,0.85
Audio,Unknown,Unknown,Calm,0.0,INC_027,PDF,General Order / Policy,Pulaski County Sheriff's Office,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.555,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.66,Text,Suspicious Activity,Mumbai,NEGATIVE,0.85
Audio,Assault,LA,Distressed,0.65,INC_028,PDF,MRAP Memorandum,MRAP The Rogers Police Department,Neutral,0.9,Image,Assault / Violence,Scene Image,N/A,0.415,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.51,Text,Suspicious Activity,Delhi,NEGATIVE,0.85
Audio,Assault,Unknown,Distressed,0.9,INC_029,PDF,General Report,Sheriff Mike McGou Union County Sheriff's Office,Neutral,0.9,Image,Unknown,Scene Image,N/A,0.653,Video,Person stationary (possible collapse),CCTV Footage,N/A,0.66,Text,Suspicious Activity,Unknown,NEGATIVE,0.85
